sample,n_beta_lactam_total,pct_esbl,pct_A_serino_carbapenemase,pct_BD_carbapenemase,pct_C_ampc,pct_nao_hidrolise,pct_beta_lactam_plasmidial,n_aminoglicosideo,gc_diff_plasmid_cromossomo
GCA_016991395.1,17,0.0,0.0,0.0,0.1764705882352941,0.8235294117647058,0.1764705882352941,0,-1.6299999999999957
GCA_047394525.1,18,0.2222222222222222,0.0,0.0555555555555555,0.0,0.6666666666666666,0.5555555555555556,5,-3.8400000000000034
GCA_016056105.1,17,0.1764705882352941,0.0588235294117647,0.0,0.0,0.7058823529411765,0.4705882352941176,2,-0.4599999999999937
GCA_003173295.1,16,0.0,0.0,0.0,0.0625,0.9375,0.125,0,-2.259999999999998
GCA_011037375.1,17,0.1764705882352941,0.0588235294117647,0.0,0.0,0.7058823529411765,0.2941176470588235,3,-0.519999999999996
GCA_003171695.1,4,0.5,0.0,0.0,0.0,0.5,0.25,5,5.550000000000004
GCA_015537995.1,8,0.125,0.0,0.25,0.125,0.5,0.0,5,-0.8099999999999952
GCA_015537765.1,7,0.0,0.0,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.0,2,-0.3299999999999983
GCA_022321225.1,25,0.52,0.0,0.0,0.0,0.48,0.24,4,-0.3800000000000025
GCA_016055795.1,16,0.125,0.0,0.0625,0.0,0.75,0.125,6,-3.700000000000003
GCA_015538125.1,7,0.0,0.0,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.0,4,-0.5499999999999972
GCA_019202555.1,19,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.7894736842105263,0.1578947368421052,4,-1.8800000000000023
GCA_024650505.1,14,0.0714285714285714,0.0,0.0,0.0,0.8571428571428571,0.3571428571428571,1,0.4099999999999966
GCA_015537535.1,7,0.0,0.0,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.0,2,0.2000000000000028
GCA_011149675.1,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,4,1.2099999999999935
GCA_028440045.1,7,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.1428571428571428,5,-0.0399999999999991
GCA_019202435.1,16,0.0,0.0,0.0625,0.0625,0.875,0.0625,4,-1.1499999999999986
GCA_022210405.1,22,0.1818181818181818,0.0909090909090909,0.0,0.0,0.6363636363636364,0.6363636363636364,4,-0.4400000000000048
GCA_054067475.1,17,0.1764705882352941,0.0588235294117647,0.0,0.0,0.7058823529411765,0.3529411764705882,2,-0.5500000000000043
GCA_054832165.1,18,0.0555555555555555,0.0,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,3,-1.0599999999999952
GCA_009829535.1,8,0.125,0.0,0.25,0.125,0.5,0.25,4,-0.8200000000000003
GCA_016416045.1,7,0.0,0.0,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.0,4,-0.6299999999999955
GCA_019201715.1,15,0.0,0.0,0.0,0.0666666666666666,0.9333333333333332,0.0,0,-0.1299999999999954
GCA_021568735.1,14,0.1428571428571428,0.0,0.0,0.0,0.8571428571428571,0.3571428571428571,0,-0.9399999999999976
GCA_022022995.1,20,0.3,0.1,0.0,0.0,0.6,0.3,13,-2.6899999999999977
GCA_054068275.1,16,0.1875,0.0625,0.0,0.0,0.75,0.375,6,-1.4299999999999995
